Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A municipal transit authority's service-planning group sends one prompt that asks Claude to extract stop-level boardings from an attached ridership file, compare them against last year, model two headway scenarios, and recommend a route change — all in a single paragraph. The reply blends the four asks together and the modelling step is barely addressed. What is the most effective revision?",multiple-choice,"Decompose the request into ordered subtasks — extract, compare, model, then recommend — and run them in sequence, confirming each result before feeding it into the next step.",,"Resend the same paragraph with the instruction ""be thorough and don't skip anything.""",,Split the ridership file into four smaller attachments and resend the identical paragraph with each one.,,Keep the single prompt but move the recommendation request to the first sentence so Claude prioritizes it.,,,,,,1,"Complex multi-part requests are handled by task decomposition: break the work into ordered, individually verifiable subtasks and chain them. Exhortations (""be thorough""), re-slicing the input, or reordering the same crowded prompt do not fix a request that bundles four different task types.",D1 Prompting & Task Execution
"A clinical research organization's trial-operations team attaches three months of site-enrollment data and asks, ""What does this tell us?"" The response is a fluent but shallow restatement of the numbers. Which prompting approach best fits this analysis task?",multiple-choice,Ask Claude to write a persuasive narrative arguing that enrollment is on track.,,Ask for more creative ideas about enrollment and pick whichever framing sounds strongest.,,"State the analytic question, the comparison baseline, the decision the analysis feeds, and the required output format — then ask for the trend, its likely drivers, and where the data is too thin to support a conclusion.",,Ask Claude to summarize the file in exactly one hundred words so the answer stays focused.,,,,,,3,"Analysis tasks need the analytic frame supplied: the specific question, the baseline for comparison, the downstream decision, and the output format. Asking for drivers plus explicit limits of the data produces analysis rather than restatement. Length caps, persuasion, and open ideation are the wrong task shapes here.",D1 Prompting & Task Execution
"A property & casualty insurer's claims unit gets a claims-handling summary where the coverage-analysis section is accurate and well organized, but the reserving section misreads the policy limits. Following the iteration loop, what is the recommended next move?",multiple-choice,Regenerate the entire summary from the original prompt and compare the two versions.,,"Keep the coverage-analysis section as-is and issue a targeted follow-up that names the reserving section, quotes the misread limit, and states the correct interpretation.",,Accept the output and correct the reserving section by hand without telling Claude what was wrong.,,"Add ""be more accurate"" to the original prompt and run it again.",,,,,,2,"Effective iteration preserves what already works and targets the specific weakness with precise, evidence-bearing feedback. Full regeneration risks losing the strong section, silent hand-editing forfeits the correction for future turns, and vague instructions like ""be more accurate"" give Claude nothing actionable.",D1 Prompting & Task Execution
"An industrial manufacturer's supply-chain planning group asks for ""a one-page brief that covers all twelve constrained SKUs in depth, with supplier risk, lead-time variance, and mitigation options for each."" Every draft is either superficial or far longer than a page. What is the best diagnosis and fix?",multiple-choice,Claude cannot process twelve items at once; ask about each SKU in a separate chat.,,"The prompt's constraints conflict; decide explicitly what wins — e.g. a one-page ranked summary plus a detailed appendix, or full depth on the three highest-risk SKUs.",,The model is too small for the task; escalate to the most capable model and resend the identical prompt.,,The output format is the issue; ask for a table and keep both constraints unchanged.,,,,,,2,"The prompt sets mutually unsatisfiable constraints — exhaustive depth on twelve items inside one page. No model, format, or chat-splitting change resolves a contradiction; the author has to prioritize and say which constraint governs.",D1 Prompting & Task Execution
A public utility's field-operations group is at the start of redesigning its outage-notification approach and has not settled on a direction. Which prompting approach best fits this brainstorming task?,multiple-choice,"Ask for a wide set of deliberately distinct options across different framings, then evaluate and narrow in a follow-up turn.",,Ask for the single best notification approach and adopt it.,,Provide a fully specified template and ask Claude to fill it in.,,Ask for a formal implementation plan with milestones and owners.,,,,,,1,"Brainstorming calls for divergence first — many genuinely different options — followed by a separate convergence step. Asking for one answer, a filled-in template, or an implementation plan presumes a direction the team has not yet chosen.",D1 Prompting & Task Execution
A state revenue agency's taxpayer-services division needs a well-sourced investigation of how five comparable states handle late-filing penalty relief before drafting a policy option paper. Which prompting approach is most appropriate?,multiple-choice,Ask Claude to recall from memory what each state does and list it in a table.,,Ask for a persuasive brief supporting the option the division already prefers.,,"Define the scope, the five jurisdictions, the timeframe, and what counts as acceptable evidence, then run it as a multi-source research task and review the citations.",,Ask a single broad question and accept the first synthesis so the paper is not delayed.,,,,,,3,"Research tasks need explicit scope, jurisdictions, timeframe, and evidence standards, run through a multi-source, cited research approach — with the citations reviewed afterward. Recall-from-memory invites fabrication, and starting from a preferred conclusion biases the investigation.",D1 Prompting & Task Execution
A freight brokerage's carrier-operations desk is drafting carrier-performance notices. The first attempt reads like generic corporate boilerplate. Which single change to the prompt will most improve the draft?,multiple-choice,Increase the requested length so the notice covers more ground.,,"Add ""write like an experienced professional"" to the opening line.",,Ask Claude to use more industry terminology throughout.,,"Specify who receives the notice, what action it must prompt, the tone and length limits, the facts that must appear, and a short example of a notice the desk considers good.",,,,,,4,"Specificity beats length or stylistic exhortation. Audience, purpose, tone, hard constraints, required facts, and a concrete exemplar give Claude the information it needs; ""write professionally"" and added jargon do not.",D1 Prompting & Task Execution
"A B2B SaaS company's customer-success organization wants to decompose ""produce a churn-risk review for our top forty accounts."" Which decomposition is sound?",multiple-choice,"Split the request into four chats of ten accounts each with no other change, then concatenate the replies.",,"Ask for the finished review first, then work backwards to check the reasoning.",,"Define the risk signals and their sources, extract each signal per account, score accounts against the agreed criteria, then draft the review from the scored list — checking the output of each step before the next.",,Split the request by output length so each chunk is roughly the same number of words.,,,,,,3,"Valid decomposition breaks a request into logically ordered subtasks whose intermediate outputs can each be checked. Splitting by account count or word count is arbitrary chunking, not decomposition, and starting from the finished artifact skips the verifiable steps.",D1 Prompting & Task Execution
"A clinical research organization's trial-operations team receives a monitoring summary that cites ""ICH E6(R3), section 5.0.7"" in support of a risk-based monitoring claim. The summary is headed for a sponsor deliverable. What is the best action?",multiple-choice,Ask Claude whether the citation is real and proceed if it confirms it.,,Retrieve the guideline itself and confirm both that the section exists and that it supports the specific claim made.,,Search for the section number and accept the claim if a result with that number comes back.,,Leave the citation in but add a disclaimer that references were AI-generated.,,,,,,2,"Specific-looking citations are exactly where fabrication hides. Verification means opening the primary source and confirming the passage supports the claim — not self-confirmation by Claude, not a bare existence check on the number, and not a disclaimer that shifts risk to the reader.",D2 Output Evaluation & Validation
A property & casualty insurer's claims unit is reviewing a coverage memo from Claude. Which two features of the memo are the strongest signals that a claim needs independent verification before the memo is relied on? (Choose two.),multi-select,An oddly precise statistic attributed to a named report the reviewer has never seen.,,"The memo is written in confident, fluent prose with no hedging.",,A conclusion that contradicts a figure stated earlier in the same memo.,,The memo is longer than the reviewer expected.,,The memo uses bulleted formatting rather than paragraphs.,,,,"1,3","Unverifiable precise attributions and internal contradictions are substantive accuracy signals. Fluency, length, and formatting are stylistic and carry no information about whether the content is correct — confident prose in particular is often mistaken for reliability.",D2 Output Evaluation & Validation
"An industrial manufacturer's supply-chain planning group receives a cost model in which unit costs feed subtotals, subtotals feed a landed-cost total, and the total drives a sourcing recommendation. Which validation technique specifically targets the failure mode in this output?",multiple-choice,Ask Claude to double-check its own arithmetic and confirm the total.,,Confirm the sourcing recommendation matches the group's prior expectations.,,"Recompute the chain independently — in a spreadsheet or by hand — and reconcile each intermediate figure, not just the final total.",,Ask for the model to be reformatted as a table so the numbers are easier to read.,,,,,,3,"Chained calculations fail silently: one wrong intermediate value propagates into a plausible-looking total. Independent recomputation of every step is the targeted control. Self-checking, reformatting, and matching prior expectations detect nothing.",D2 Output Evaluation & Validation
