Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A first draft of loan-denial letters comes back generic and off-target. What is the most effective next step?,multiple-choice,Regenerate using the identical prompt and hope for a better result.,,Send it as-is — a first draft is good enough.,,"Add the missing audience, tone, format, and constraints, then regenerate.",,Switch to a different AI platform.,,,,,,3,Specificity beats length: vague prompts get generic answers. Add audience/purpose/format/constraints before adding more words.,D1 Prompting & Task Execution
"You ask Claude to gather data on five competitors, structure a comparison, and then recommend a strategy for an e-commerce retailer's marketing team. What is the best prompting approach?",multiple-choice,Request the longest possible answer to cover everything at once.,,Ask for the final recommendation in a single line with no other detail.,,Ask the identical question five times in a row.,,"Decompose into ordered steps — gather, structure, recommend — reviewing the output between each step.",,,,,,4,"Complex requests should be broken into ordered sub-steps (task decomposition), which improves quality and lets you checkpoint between steps.",D1 Prompting & Task Execution
"For a university's admissions office, which is a valid way to run task decomposition on a complex request?",multiple-choice,"Sequential prompting — run each step as a separate turn (outline, then draft, then refine), reviewing between turns.",,Repeating the same single prompt multiple times until it looks different.,,Disabling the task by handing it entirely to a different tool.,,Requesting the entire multi-step deliverable with no structure and no review.,,,,,,1,Sequential prompting (separate turns per step) and structured single prompts (enumerated sub-tasks in one prompt) are the two valid decomposition approaches.,D1 Prompting & Task Execution
A hospital's care-coordination team needs Claude to analyze last quarter's insurance reimbursement rates and explain the trend. Which prompting approach fits an analysis task?,multiple-choice,"Provide the data/source, and ask for criteria, evidence, and explicit reasoning, requesting that claims cite the source.",,Request the answer in the fewest words possible with no reasoning shown.,,"Ask for a short, confident answer with no supporting evidence.",,Ask Claude to guess without being given the underlying data.,,,,,,1,"Analysis tasks should supply the data/source and ask for criteria, evidence, and explicit, citable reasoning.",D1 Prompting & Task Execution
"A regional bank's lending team wants a deep, multi-source investigation before making a decision. Which prompting approach is most appropriate for this research task?",multiple-choice,Ask a single quick chat question and accept the first answer.,,Request the shortest possible answer to save time.,,"Define the scope and depth needed, ask for sources/citations, and use research mode for multi-source synthesis.",,Avoid specifying scope so Claude can decide how deep to go.,,,,,,3,"Research tasks need defined scope/depth, a request for sources, and research mode for multi-source, cited synthesis.",D1 Prompting & Task Execution
An e-commerce retailer's marketing team is brainstorming new ideas for promotional emails and doesn't yet know the direction to take. What is the best prompting approach for this brainstorming task?,multiple-choice,Constrain the brainstorm to exactly one format before any ideas exist.,,"Ask for quantity and variety first, encouraging divergent options, then narrow down afterward.",,Ask Claude to pick the final option without listing alternatives.,,Ask for a single best idea immediately with no alternatives.,,,,,,2,"Brainstorming works best by asking for quantity and variety first (divergent thinking), then converging on the best option afterward.",D1 Prompting & Task Execution
"An output from Claude is weak for a university's admissions office. Following the effective iteration loop, what should happen next?",multiple-choice,"Repeat the exact same vague prompt again, hoping for a different result.",,Abandon the task without trying to refine the prompt.,,"Diagnose what's off, change one thing, and compare the new output to the old one.",,Immediately switch to a completely different AI platform.,,,,,,3,"The core iteration loop is: diagnose what's off, change one thing, compare — not switching tools or repeating the same vague ask.",D1 Prompting & Task Execution
"While refining a draft for a hospital's care-coordination team, part of the output is strong and part is weak. What is the recommended move?",multiple-choice,"Keep the good parts, and regenerate only the weak part with a specific explanation of what to change and why.",,"Regenerate the entire piece from scratch, discarding the strong parts too.",,Accept the draft as final without any changes.,,Pack ten unrelated additional requests into the same prompt to save time.,,,,,,1,"Effective iteration keeps the good material and regenerates only the weak part, telling Claude specifically what to change and why.",D1 Prompting & Task Execution
"Claude drafts a summary for a regional bank's lending team citing ""a 2024 credit-risk report, figure 2.4."" Before sending it to the Chief Risk Officer, what is the best action?",multiple-choice,Ask Claude to rate its own confidence and send it if the rating is high.,,Send it — the citation sounds precise and confident.,,Verify the report and figure against the actual source before sharing.,,"Reformat it to look more polished, then send it.",,,,,,3,"Specific-looking details (citation numbers, figures, dates) are the highest-risk hallucination signal. Verify against the actual source before sending — confidence and formatting never substitute for verification.",D2 Output Evaluation & Validation
"A colleague at an e-commerce retailer's marketing team asks Claude, ""how confident are you in this answer?"" and plans to trust a high self-reported score. Why is this an unreliable validation method?",multiple-choice,"Confidence ratings are only unreliable for numerical claims, never for text.",,A model can be confidently wrong; self-reported confidence is not evidence of accuracy and doesn't verify a claim against an authoritative source.,,Self-reported confidence is a valid check and should always be trusted.,,Asking for a confidence rating is the fastest way to guarantee correctness.,,,,,,2,Self-reported confidence is a classic trap: it is not a validity check. A model can be fluent and confident while being factually wrong.,D2 Output Evaluation & Validation
A university's admissions office needs to validate a specific number cited in an output. What is the gold-standard fact-checking technique?,multiple-choice,Verify against the actual source of truth — the primary document or system of record.,,Skip verification since re-checking numbers wastes time.,,Ask Claude to reformat the number so it looks more official.,,Trust the number because it appears in a confident tone.,,,,,,1,"Verifying against the actual source of truth (the primary document or system of record) is the gold-standard fact-checking technique, especially for citations and numbers.",D2 Output Evaluation & Validation
