Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Response,Overall Explanation,Domain
A first draft of discharge instructions comes back generic and off-target. What is the most effective next step?,multi-choice,"Add the missing audience, tone, format, and constraints, then regenerate.",,Regenerate using the identical prompt and hope for a better result.,,Send it as-is — a first draft is good enough.,,Switch to a different AI platform.,,,,,,1,Specificity beats length: vague prompts get generic answers. Add audience/purpose/format/constraints before adding more words.,D1 Prompting & Task Execution
"You ask Claude to gather data on five competitors, structure a comparison, and then recommend a strategy for a regional bank's lending team. What is the best prompting approach?",multi-choice,Ask the identical question five times in a row.,,Ask for the final recommendation in a single line with no other detail.,,Request the longest possible answer to cover everything at once.,,"Decompose into ordered steps — gather, structure, recommend — reviewing the output between each step.",,,,,,4,"Complex requests should be broken into ordered sub-steps (task decomposition), which improves quality and lets you checkpoint between steps.",D1 Prompting & Task Execution
"For an e-commerce retailer's marketing team, which is a valid way to run task decomposition on a complex request?",multi-choice,Disabling the task by handing it entirely to a different tool.,,"Sequential prompting — run each step as a separate turn (outline, then draft, then refine), reviewing between turns.",,Repeating the same single prompt multiple times until it looks different.,,Requesting the entire multi-step deliverable with no structure and no review.,,,,,,2,Sequential prompting (separate turns per step) and structured single prompts (enumerated sub-tasks in one prompt) are the two valid decomposition approaches.,D1 Prompting & Task Execution
A university's admissions office needs Claude to analyze last quarter's tuition-rate sheet and explain the trend. Which prompting approach fits an analysis task?,multi-choice,"Provide the data/source, and ask for criteria, evidence, and explicit reasoning, requesting that claims cite the source.",,Request the answer in the fewest words possible with no reasoning shown.,,"Ask for a short, confident answer with no supporting evidence.",,Ask Claude to guess without being given the underlying data.,,,,,,1,"Analysis tasks should supply the data/source and ask for criteria, evidence, and explicit, citable reasoning.",D1 Prompting & Task Execution
"A hospital's care-coordination team wants a deep, multi-source investigation before making a decision. Which prompting approach is most appropriate for this research task?",multi-choice,Avoid specifying scope so Claude can decide how deep to go.,,Request the shortest possible answer to save time.,,"Define the scope and depth needed, ask for sources/citations, and use research mode for multi-source synthesis.",,Ask a single quick chat question and accept the first answer.,,,,,,3,"Research tasks need defined scope/depth, a request for sources, and research mode for multi-source, cited synthesis.",D1 Prompting & Task Execution
A regional bank's lending team is brainstorming new ideas for loan-denial letters and doesn't yet know the direction to take. What is the best prompting approach for this brainstorming task?,multi-choice,Constrain the brainstorm to exactly one format before any ideas exist.,,Ask Claude to pick the final option without listing alternatives.,,Ask for a single best idea immediately with no alternatives.,,"Ask for quantity and variety first, encouraging divergent options, then narrow down afterward.",,,,,,4,"Brainstorming works best by asking for quantity and variety first (divergent thinking), then converging on the best option afterward.",D1 Prompting & Task Execution
"An output from Claude is weak for an e-commerce retailer's marketing team. Following the effective iteration loop, what should happen next?",multi-choice,"Repeat the exact same vague prompt again, hoping for a different result.",,Immediately switch to a completely different AI platform.,,"Diagnose what's off, change one thing, and compare the new output to the old one.",,Abandon the task without trying to refine the prompt.,,,,,,3,"The core iteration loop is: diagnose what's off, change one thing, compare — not switching tools or repeating the same vague ask.",D1 Prompting & Task Execution
"While refining a draft for a university's admissions office, part of the output is strong and part is weak. What is the recommended move?",multi-choice,Pack ten unrelated additional requests into the same prompt to save time.,,"Regenerate the entire piece from scratch, discarding the strong parts too.",,Accept the draft as final without any changes.,,"Keep the good parts, and regenerate only the weak part with a specific explanation of what to change and why.",,,,,,4,"Effective iteration keeps the good material and regenerates only the weak part, telling Claude specifically what to change and why.",D1 Prompting & Task Execution
"Claude drafts a summary for a hospital's care-coordination team citing ""a 2024 patient-safety report, figure 3.1."" Before sending it to the Chief Medical Officer, what is the best action?",multi-choice,Ask Claude to rate its own confidence and send it if the rating is high.,,Send it — the citation sounds precise and confident.,,Verify the report and figure against the actual source before sharing.,,"Reformat it to look more polished, then send it.",,,,,,3,"Specific-looking details (citation numbers, figures, dates) are the highest-risk hallucination signal. Verify against the actual source before sending — confidence and formatting never substitute for verification.",D2 Output Evaluation & Validation
"A colleague at a regional bank's lending team asks Claude, ""how confident are you in this answer?"" and plans to trust a high self-reported score. Why is this an unreliable validation method?",multi-choice,Asking for a confidence rating is the fastest way to guarantee correctness.,,Self-reported confidence is a valid check and should always be trusted.,,A model can be confidently wrong; self-reported confidence is not evidence of accuracy and doesn't verify a claim against an authoritative source.,,"Confidence ratings are only unreliable for numerical claims, never for text.",,,,,,3,Self-reported confidence is a classic trap: it is not a validity check. A model can be fluent and confident while being factually wrong.,D2 Output Evaluation & Validation
An e-commerce retailer's marketing team needs to validate a specific number cited in an output. What is the gold-standard fact-checking technique?,multi-choice,Verify against the actual source of truth — the primary document or system of record.,,Trust the number because it appears in a confident tone.,,Ask Claude to reformat the number so it looks more official.,,Skip verification since re-checking numbers wastes time.,,,,,,1,"Verifying against the actual source of truth (the primary document or system of record) is the gold-standard fact-checking technique, especially for citations and numbers.",D2 Output Evaluation & Validation
A university's admissions office cannot access the original source document to verify a claim in Claude's output. What is a reasonable alternative validation technique?,multi-choice,Ignore the claim since it cannot be perfectly verified.,,"Cross-check the claim against an independent, reputable source.",,Ask Claude to restate the claim in different words.,,Assume it is correct since it reads fluently.,,,,,,2,"When the primary source isn't available, cross-checking against an independent reputable source is a valid fact-checking technique.",D2 Output Evaluation & Validation
A hospital's care-coordination team wants Claude's claims to be easier to verify against three clinical reference PDFs. What technique reduces (though doesn't eliminate) the need to double-check every claim?,multi-choice,Ask Claude to rate its own certainty instead of citing sources.,,Ask Claude not to use any sources at all.,,Ground the task — give Claude the source material and ask it to cite which part supports each claim.,,Request a shorter answer so there is less to check.,,,,,,3,"Grounding — supplying source material and requiring citations to specific parts of it — reduces, though doesn't eliminate, the need to verify.",D2 Output Evaluation & Validation
An output for a regional bank's lending team contains a multi-step calculation feeding into a total. What validation technique specifically targets this kind of error?,multi-choice,Assume totals are correct if the formatting is clean.,,Recompute/re-derive — re-run the calculation and sanity-check totals and units.,,Reformat the number with more decimal places.,,Ask Claude if the total feels right.,,,,,,2,Recomputing or re-deriving — re-running calculations and sanity-checking totals/units — is the right technique for numeric/calculation errors.,D2 Output Evaluation & Validation
