Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Which description matches a hallucination?,multiple-choice,"Output that is hedged, uncertain and hard to act on.",,Output that is fluent and confident but fabricated.,,Output that contradicts a figure stated earlier in it.,,Output that omits a category the request asked for.,,,,,,2,"A hallucination is confident, plausible-sounding content that is factually wrong or invented. Self-contradiction is an inconsistency, a missing category is a completeness failure, and hedged output is not a failure mode at all.",D2 Output Evaluation & Validation
An output cites a named standard and a section number. What does the citation establish?,multiple-choice,That the claim has been verified against that standard.,,That the standard was consulted while writing the output.,,Only that a source is named and can now be checked.,,That the claim is more reliable than an uncited one.,,,,,,3,"A citation makes a claim traceable — it is a pointer, not a proof. The section may not exist, or may exist and not support the sentence attached to it. Neither the presence of a citation nor its specificity is evidence of accuracy.",D2 Output Evaluation & Validation
A summary reports one total; the table beneath it reports a different total. Which dimension failed?,multiple-choice,Completeness — a required element is missing.,,Accuracy — an external fact has been stated wrongly.,,Bias — a group is characterized without basis.,,Consistency — the output disagrees with itself.,,,,,,4,"Two conflicting values for the same measure inside one document is an internal-consistency failure. Nothing has been omitted, no external fact has yet been shown wrong, and no group is being characterized at all.",D2 Output Evaluation & Validation
Which output belongs in an artifact rather than inline chat?,multiple-choice,A six-page procedure the team will revise and circulate.,,"A one-sentence answer to a quick, purely factual question.",,A clarifying question asked back to the requester.,,A short confirmation that a file was understood.,,,,,,1,"Artifacts are for substantial, self-contained deliverables that get iterated on, kept and shared. Short conversational exchanges — answers, questions, confirmations — belong inline, where they cost nothing to produce and nobody needs to retrieve them later.",D2 Output Evaluation & Validation
A reviewer asks Claude how confident it is and plans to skip checking anything above 90. Why is this unsound?,multiple-choice,The threshold is too low and really ought to be set at 95.,,Confidence ratings only work for numerical claims.,,"The rating is generated text, not a measure of truth.",,Confidence must be requested in a separate chat.,,,,,,3,"A confidence figure is produced by the same process that produced the claim, so it carries no independent information about whether the claim is right. No threshold, claim type or chat arrangement converts self-assessment into validation.",D2 Output Evaluation & Validation
Which situation most clearly requires expert human review before the output is used?,multiple-choice,An internal draft agenda for next week's routine team meeting.,,A rewrite of a paragraph into plainer language.,,A list of questions to ask at a supplier meeting.,,A filing that carries regulatory and financial exposure.,,,,,,4,"Review scales with consequence and with how specific and checkable the claims are. A regulatory filing is costly to get wrong and full of verifiable specifics. Agendas, rewrites and question lists are low-stakes and easily corrected.",D2 Output Evaluation & Validation
"An output builds unit costs into subtotals, subtotals into a total, and a recommendation from the total. Which check targets this structure?",multiple-choice,Ask Claude to confirm that its own arithmetic is correct.,,"Recompute each intermediate figure, not just the total.",,Check that the recommendation matches expectations.,,Request the same figures again in a formatted table.,,,,,,2,"Chained calculations fail silently: one wrong intermediate value flows into a total that looks entirely plausible. Only independent recomputation of every step catches it. Self-checking, reformatting and matching expectations detect nothing.",D2 Output Evaluation & Validation
"A report answers everything asked except one category, which it omits without comment. Everything it does say is correct. Which dimension failed?",multiple-choice,"Accuracy, because a stated fact turned out wrong.",,"Bias, because one whole category was treated differently.",,"Completeness, because requested scope is unaddressed.",,"Consistency, because the report contradicts itself.",,,,,,3,"Every statement is true, so accuracy holds, and nothing conflicts, so consistency holds. The failure is that requested scope is missing and the gap is unflagged — which is what makes silent omissions dangerous, since the visible content reads as sound.",D2 Output Evaluation & Validation
"A supplier review describes vendors from one country as ""unreliable"" and comparable vendors elsewhere as ""still maturing,"" citing no performance data. What is this?",multiple-choice,"A completeness failure, since data is not supplied.",,"An accuracy failure, since the wording is imprecise.",,"A formatting failure, since terms are inconsistent.",,"A bias failure, since the pattern is unsupported.",,,,,,4,"Systematically less favorable language applied to one group with no evidentiary basis is bias. Individual sentences may each be defensible, which is why bias survives an accuracy pass and needs its own review of the characterizations.",D2 Output Evaluation & Validation
The primary source behind a claim cannot be obtained. What is the sound fallback?,multiple-choice,Cross-check independently and flag what stays unconfirmed.,,"Accept the claim, since it cannot now be checked either way.",,Have Claude reproduce the source text and rely on that.,,Remove the claim and say nothing about the removal.,,,,,,1,"Independent cross-checking plus explicit disclosure of what remains unconfirmed is the honest fallback. Having Claude reproduce the source manufactures the evidence, and quietly accepting or quietly deleting the claim both leave the reader with a false impression.",D2 Output Evaluation & Validation
