Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
Outputs are fluent but could describe almost any organization. What is the cause?,multiple-choice,The model tier currently in use is too low for this work.,,The prompt does not specify audience or constraints.,,The request is too long and should be shortened.,,The task is one Claude cannot perform reliably.,,,,,,2,"Generic output is the signature of a prompt that described a generic request. Escalating the model, truncating the request or abandoning the task all leave the missing specification exactly as missing as it was.",D7 Troubleshooting & Optimization
A Project returns last year's figures even after staff correct it in chat. What is the fix?,multiple-choice,Replace the outdated documents in the knowledge base.,,Have staff restate the current figures more clearly.,,Move the whole Project onto a more capable model tier.,,Start a new chat each time the error is encountered.,,,,,,1,"The Project is grounding answers faithfully on knowledge that is out of date, so the documents must be replaced. Restating in chat, changing model and restarting all leave the stale source in place to be used again next time.",D7 Troubleshooting & Optimization
An output contains named reports and precise figures that turn out not to exist. What happened?,multiple-choice,"The output was too long, which introduced errors.",,The question asked was fundamentally unanswerable.,,Detail was requested that had no grounded source.,,The model tier was too low to handle the request.,,,,,,3,"Fabricated specifics appear when a prompt demands detail the model has no grounded source for. The remedy is to supply authoritative sources or use a cited research approach, and to verify regardless — length, model tier and the question itself are not the cause.",D7 Troubleshooting & Optimization
Three changes were made at once and quality improved. How should the team find out what helped?,multiple-choice,Keep all three and assume each played some part.,,Ask Claude which of the changes made the difference.,,"Revert everything, since the cause cannot be known.",,Re-test each change alone against a fixed baseline.,,,,,,4,"Attribution needs a controlled comparison: one variable at a time, measured against the same baseline and evaluation set. Assuming, asking the model, and reverting wholesale all leave the team without the answer — and reverting discards a genuine gain as well.",D7 Troubleshooting & Optimization
"A high-volume, simple job has become slow and expensive. What is the likely cause?",multiple-choice,The task is unsuitable for AI and should be manual.,,The prompts are too brief and need expanding.,,The model tier is above what the task requires.,,The items should be processed one at a time.,,,,,,3,Cost and latency trouble on simple bulk work almost always traces to a model above what the task needs. Routing it to the cheapest model and reserving the capable one for hard cases is the fix; the other options address problems that are not present.,D7 Troubleshooting & Optimization
Which piece of user feedback is most actionable for improving a workflow?,multiple-choice,The outputs have generally not been very useful lately.,,The summary omitted contractors and used old rate bands.,,The tool feels slower than people originally expected.,,Several team members would prefer their previous process.,,,,,,2,"Naming the specific omission and the specific error points straight at a missing instruction and a stale document. General dissatisfaction, perceived speed and stated preference describe sentiment without identifying anything that can be changed.",D7 Troubleshooting & Optimization
A team's first instinct whenever output disappoints is to escalate the model tier. What is wrong with that as a default?,multiple-choice,Larger models are more likely to fabricate details.,,It masks the real cause and raises cost permanently.,,Model changes require approval that slows work down.,,Escalation only ever helps with high-volume workloads.,,,,,,2,"Escalation occasionally helps, which is what makes it a bad default — the underlying prompt, source or context fault survives, and every future run costs more. Larger models do not fabricate more, and approval and volume are not the objection.",D7 Troubleshooting & Optimization
Shallow analysis could be caused either by a vague prompt or by a genuinely hard task on a small model. How should the team tell them apart?,multiple-choice,"Escalate the model tier first; if it improves, that was the cause.",,"Specify the prompt fully first, then re-test on the same model.",,"Assume the task is hard, since the analysis came back shallow.",,Compare against a different task to see which performs better.,,,,,,2,"Fixing the cheaper, likelier cause first is diagnostic: if a fully specified prompt resolves it, the model was never the issue. Escalating first confounds the two, assuming difficulty skips the test, and an unrelated task tells you nothing about this one.",D7 Troubleshooting & Optimization
"An evaluation shows a change improved results, but it was measured on different examples than the baseline. What follows?",multiple-choice,The improvement stands confirmed if the gain was large enough.,,The result holds provided the examples were realistic.,,The comparison is not valid and must be re-run properly.,,The examples matter less than the size of the sample.,,,,,,3,"Changing the evaluation set alongside the variable means the difference cannot be attributed to either. Effect size, realism and sample size do not repair a comparison whose two sides were never comparable.",D7 Troubleshooting & Optimization
Which change is genuine workflow optimization rather than incremental speed-up?,multiple-choice,Routing simple bulk work to a cheaper model tier.,,Producing the same drafts marginally faster than before.,,Requesting shorter outputs so review takes less time.,,Adding a second reviewer to the existing bottleneck.,,,,,,1,"Matching the model to the work changes the cost structure of the whole workload rather than shaving time off one step. Faster drafts, shorter outputs and extra reviewers all leave the same shape of process in place.",D7 Troubleshooting & Optimization
