Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A long document must be produced and previous attempts have gone in the wrong direction after several paragraphs. What shape of prompting helps?,multiple-choice,"Ask for an outline first, agree it, and only then ask for the prose to be written.",,"Ask for a shorter version of the whole document first, then request that it be expanded out.",,Ask for the full document and correct the direction once the whole draft has been produced.,,"Ask for one section at a time, so that each of them can be reviewed before the next is begun.",,,,,,1,"Structure is cheap to inspect and cheap to change; prose is neither. Agreeing an outline settles the direction before any effort goes into wording, which is where the previous attempts were wasted. Section-by-section drafting still commits to an unagreed structure, and expanding a short version bakes in whatever shape that version happened to take.",D1 Prompting & Task Execution
The same prompt is used weekly with a different dataset each time. What makes it most reusable?,multiple-choice,"Save the most recent version, so that the previous week's wording is always available to adapt.",,Write it with clearly marked placeholders for the parts that change each week.,,"Keep it short, so that adapting it to each new dataset takes very little time to carry out.",,"Describe the dataset in general terms, so the same wording applies whatever the data contains.",,,,,,2,"Marked placeholders separate the stable instruction from the variable input, which means the tested part is never accidentally edited while substituting this week's specifics. Saving the last version invites divergence, brevity is not the same as reusability, and a description vague enough to fit any dataset will under-specify every one of them.",D1 Prompting & Task Execution
A prompt pastes ten pages of source material and then states the instruction at the end. What does that ordering achieve?,multiple-choice,"The instruction occupies fewer tokens, since it does not need to reintroduce the material.",,"The output is more concise, since the instruction is the most recent thing to have been read.",,"The instruction is read against material already in view, which suits long inputs.",,"The material is treated as authoritative, since it precedes anything the instruction says.",,,,,,3,"For long inputs the recommended ordering is material first and instruction last, which measurably improves how well the content is used. It is a placement effect rather than a claim about authority or token count, and it does not make output shorter. For short inputs the ordering matters far less.",D1 Prompting & Task Execution
"A team needs to be able to check how a conclusion was reached, not just what it was. What should the prompt ask for?",multiple-choice,"An alternative conclusion, so the team can see what the reasoning ruled out along the way.",,"The steps and the evidence behind the conclusion, set out alongside it.",,"Citations for each of the facts, so that every claim can be traced back to its source.",,"A confidence rating for the conclusion, so the team knows how much weight to place on it.",,,,,,2,"Asking for the working makes the inference inspectable, which is what lets a reader find the step where it went wrong rather than only disagreeing with the destination. Citations establish where facts came from without showing how they were combined, and a confidence rating is generated text rather than evidence.",D1 Prompting & Task Execution
A prompt written by a specialist uses internal acronyms and shorthand throughout. What is the risk?,multiple-choice,The prompt is difficult for colleagues to maintain once its original author has moved on.,,"The output adopts the same shorthand, making it unsuitable for a non-specialist reader.",,Terms are read with their common meaning rather than the organization's own.,,"The prompt becomes longer than necessary, since each acronym has to be introduced first.",,,,,,3,"An acronym that means one thing in this organization frequently means something else in general usage, and nothing signals which reading was taken. Defining the terms once removes an entire class of silent misinterpretation. Maintainability and output register are genuine secondary concerns that do not produce a wrong answer.",D1 Prompting & Task Execution
Three specific points must appear in every output. Where should that be expressed?,multiple-choice,"As background context, so the model understands why the three points matter here.",,"As an example output that includes all three, so the pattern can be inferred from it.",,"As explicit requirements in the prompt, stated as things the output must contain.",,"As a review step afterwards, which checks that each of the three points is present.",,,,,,3,"Mandatory content belongs in the instruction as a requirement, which is the only formulation that directs the output rather than describing it or checking it afterwards. An example demonstrates without obliging, background explains without requiring, and a review step catches the omission at the cost of another cycle.",D1 Prompting & Task Execution
A draft needs improving and the team knows exactly what good looks like. What is the effective use of a second pass?,multiple-choice,"Ask for the draft to be assessed against those criteria, stated explicitly.",,"Ask for the draft to be improved, since the model can identify its own weaknesses.",,"Ask for the draft to be shortened, since concision usually improves a first attempt.",,Ask for a second draft from the original prompt and choose between the two versions.,,,,,,1,"A self-critique pass is only as good as the standard it is given: with explicit criteria it becomes a specific comparison, and without them it produces generic polish. This is a review of form against a stated standard, which is different from verifying facts, where an independent check is required.",D1 Prompting & Task Execution
A single prompt asks for a creative concept and a costed analysis of it. What is the flaw?,multiple-choice,"The prompt is too long, which reduces the attention available for either of the two parts.",,"The output will be difficult to review, since two distinct standards apply to its parts.",,"The costing depends on the concept, so the two cannot be produced at the same moment.",,"Two different kinds of work are being asked for in one pass, and each is done less well.",,,,,,4,"Divergent generation and convergent analysis pull in opposite directions, and combining them produces a safe concept with a shallow costing. Splitting them lets each be prompted for what it needs. The dependency is real and is the reason the split is natural, but the underlying problem is the mixing of task types.",D1 Prompting & Task Execution
A report expresses figures in both thousands and millions in different sections. Which check applies?,multiple-choice,Confirm the figures match the source documents each of them was originally drawn from.,,Confirm the units of every figure before any of them are compared or combined.,,Confirm the report states its units clearly enough for a reader to interpret them.,,Confirm the totals are consistent with the individual figures reported beneath them.,,,,,,2,"Mixed units are the classic source of an error that survives every other check: each figure is individually correct against its source, the arithmetic is internally consistent, and the comparison is nonsense. Normalizing units before comparing is the specific control. Source checking and total reconciliation both pass on a mixed-unit report.",D2 Output Evaluation & Validation
"An output cites a real, current document, and the document does not support the claim made. What is this?",multiple-choice,"A mis-citation, which grounding checks pass because the source genuinely exists.",,"A completeness failure, since the supporting part of the source was not included.",,"A relevance failure, since the source relates to a different question than the one asked.",,"A hallucination, since the connection between the claim and the source was invented.",,,,,,1,"The dangerous property here is that the citation survives the check most reviewers actually perform: the document is real, current and correctly identified. Only reading the cited passage reveals that it says something else. Calling it a hallucination is defensible in loose usage, and the practical point is that source existence is not source support.",D2 Output Evaluation & Validation
