Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A team drafts letters with Claude, but review, approval and sending are unchanged. What is this?",multiple-choice,"Redesign, because a new tool entered the process.",,Augmentation of one step within the existing process.,,Full automation of the entire correspondence workflow.,,A pilot that has not yet been integrated at all.,,,,,,2,"Augmentation accelerates a step while the surrounding structure and its controls stay intact. Redesign means the process shape itself changed; nothing here runs end to end without people, and the work is plainly already in production use.",D4 Workflow Integration & Solution Design
Where should a human checkpoint sit in a workflow that ends by dispatching a customer refund?,multiple-choice,Immediately before the refund is actually dispatched.,,"At the start, before Claude is given the case file.",,In a monthly audit of a sample of the refunds issued so far.,,"At quarter end, reviewing the full refund ledger.",,,,,,1,"A checkpoint only functions where review can still change the outcome, which means directly upstream of the irreversible action. Reviewing at the start, sampling monthly or auditing quarterly all happen after money has already moved.",D4 Workflow Integration & Solution Design
Which is the soundest first step when integrating Claude into an existing process?,multiple-choice,Select the model tier that best suits the budget available.,,Roll it out widely and gather feedback from users afterwards.,,"Map the process, its decision points and existing controls.",,"Automate the slowest step, since the saving is largest there.",,,,,,3,"Without a map of the current process you cannot tell which step benefits, where the controls sit, or what a change would break. Choosing a model, rolling out broadly, or chasing the biggest saving all skip the analysis that makes the choice defensible.",D4 Workflow Integration & Solution Design
Which statement about Claude is both accurate and appropriate to tell an executive sponsor?,multiple-choice,Well-written prompts entirely remove the risk of factual error.,,"Outputs can be confidently wrong, so review stays in place.",,Any answer it is unsure about will be flagged for you.,,Outputs that include citations can be treated as verified.,,,,,,2,"The limitation that shapes the design is that fluent, confident output can still be wrong, which is why verification remains. Claims that prompting quality, self-flagging or the presence of citations eliminates that risk misrepresent how the system behaves.",D4 Workflow Integration & Solution Design
Which characteristic best marks a use case as a strong fit?,multiple-choice,It is the step the team finds most tedious to perform.,,Its rules are documented well enough to skip the review step.,,It is currently the slowest step in the whole process.,,It is language work whose output a qualified person checks.,,,,,,4,"Fit follows from the shape of the work and from where accountability sits. Tedium and slowness describe why a team wants help, not whether the task suits it, and designing toward skipping review is the wrong target for consequential work.",D4 Workflow Integration & Solution Design
What is the correct final stage of a Claude integration?,multiple-choice,Measure against the baseline and refine what the results show.,,Document the new workflow and treat the project as complete.,,Extend the same configuration out to every other comparable team.,,Retire the human checkpoints now that the workflow is stable.,,,,,,1,"Integration closes with measurement against the pre-integration baseline and iteration on the evidence. Documenting and stopping, scaling before evidence exists, and removing checkpoints all skip the step that establishes whether the change actually worked.",D4 Workflow Integration & Solution Design
An operations director proposes letting Claude approve routine expense claims under a set value with no human involvement. What is the soundest response?,multiple-choice,"Agree, provided the approvals are audited at quarter end.",,"Agree, provided that each approval is labelled as automated.",,"Decline, and propose Claude prepare approvals for sign-off.",,"Decline, because expense rules are too complex to encode.",,,,,,3,"Approvals commit the organization's money, and the proposal puts that judgment in a system that exercises discretion rather than in a deterministic rule a human owns — so a person must hold the decision. The workable shape is preparation plus sign-off. A quarterly audit reviews spending already gone, a label transfers no accountability, and complexity is not the objection.",D4 Workflow Integration & Solution Design
A process is redesigned so that two review steps are merged into one. What must be checked?,multiple-choice,Whether the merged step is faster than the two it replaced.,,Whether the controls the removed step provided still exist.,,Whether staff prefer the new arrangement to the old one.,,Whether the same model can handle the newly merged workload.,,,,,,2,"Redesign reshapes the process, so controls that used to be inherited must be deliberately re-established. Speed, preference and model capacity all matter less than whether something the removed step was catching is now catching nothing.",D4 Workflow Integration & Solution Design
Which proposal should raise the strongest objection on accountability grounds?,multiple-choice,Claude drafts the denial letter; a caseworker reviews and sends.,,Claude summarizes case files so caseworkers read them faster.,,Claude flags cases that appear to need a supervisor's attention.,,Claude decides which applications are refused and issues them.,,,,,,4,"Deciding and issuing refusals places a consequential determination about a person's entitlement outside human hands. Drafting, summarizing and flagging all leave the decision and the accountability with a caseworker or supervisor.",D4 Workflow Integration & Solution Design
A pilot shows Claude drafts briefs in a quarter of the time. What is the most credible way to present this to a sponsor?,multiple-choice,State the time saved and that briefs are still reviewed.,,State that the tool now handles all briefing for the team.,,State that the saving will reduce headcount next year.,,State that this puts the team ahead of its competitors.,,,,,,1,"Credible communication pairs the measured change with the control that remains in place. Claiming the tool now owns the work oversells it, and headcount promises and competitive boasts are unevidenced commitments the pilot never tested.",D4 Workflow Integration & Solution Design
