Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"Two prompts request the same analysis. One runs to four sentences, the other to two pages of context and rules. The short one produces better output. What best explains that?",multiple-choice,The longer prompt likely carries constraints that pull against each other or against the task.,,"The longer prompt exceeds what can be held in view, so its later instructions were never read at all.",,"The shorter prompt was probably run more recently, benefiting from a more current model.",,"The shorter prompt leaves more room for the output, which is why it came out better formed.",,,,,,1,"Length is not what makes a prompt work; specification is, and a long prompt frequently accumulates rules that conflict with one another or over-constrain the task. Sorting out which constraints genuinely govern usually beats both versions. Prompts of two pages sit comfortably within what can be considered, so truncation is not the explanation.",D1 Prompting & Task Execution
A colleague argues that because a prompt worked well last month it should be reused unchanged for a similar task. What is the strongest objection?,multiple-choice,The original prompt was tuned to one person's preferences rather than to the team's standards.,,Reusing a prompt discourages the team from improving how they specify their requests over time.,,Prompts degrade over time as the underlying model gets updated and its behaviour shifts a little.,,"The two tasks differ in ways the original prompt names nothing about, so it under-specifies this one.",,,,,,4,"A prompt encodes the specification of a particular task, and a similar task differs precisely in the details it does not mention — the audience, the decision it feeds, the constraints that apply here. Reuse as a starting point is sensible; reuse unchanged imports an under-specification. Model drift is real and a much weaker objection than the mismatch in front of you.",D1 Prompting & Task Execution
A request produced a good result. What is the most useful thing to record so it can be repeated?,multiple-choice,"The model and the settings used, so the conditions that produced the result can be reproduced.",,"The exact wording used, so the identical prompt can be issued again when the need recurs.",,"What the request specified and why, so the same reasoning can be applied to a different task.",,"The output produced, so it can serve as an exemplar for future requests of the same kind.",,,,,,3,"Capturing the reasoning — that this reader needed this decision supported in this form — transfers to the next task, where the exact wording will not. Verbatim prompts and saved outputs are both useful artifacts that only fit the case they came from. Settings matter least, since specification rather than configuration is what produced the result.",D1 Prompting & Task Execution
Which change to a vague request will most reliably improve the output?,multiple-choice,Naming the reader and the decision the output has to support for them.,,Providing more background about the organization and its current situation.,,Increasing the level of detail requested in each section of the output.,,Adding an instruction to be thorough and to avoid omitting anything relevant.,,,,,,1,"Audience and purpose are the two specifications that shape almost everything else — the depth, the vocabulary, what can be assumed, what has to be argued. Exhortations to be thorough set no testable constraint. More detail and more background both add material without telling the output who it is for or what it has to achieve.",D1 Prompting & Task Execution
"A team runs a three-step chain and reviews only the final output, on the grounds that a bad intermediate result would show up there anyway. What is the flaw?",multiple-choice,"Intermediate outputs are cheaper to correct, so waiting until the end costs more to fix.",,Reviewing only the end means far more material to read than reviewing each step would require.,,"An error can be corrected downstream into something plausible, hiding where it actually began.",,"The final output combines three steps, so any error in it is harder to describe precisely.",,,,,,3,"Later steps work with whatever they are given and will smooth an earlier error into something coherent, which is what makes it hard to find afterwards. Checking between steps catches it while it is still visible. Effort and cost of correction are real considerations that follow from the diagnostic problem rather than constituting it.",D1 Prompting & Task Execution
"What does asking for a task to be done 'thoroughly' fail to provide, compared with naming what a complete answer must contain?",multiple-choice,"A structure, since thoroughness says nothing about how the material should be organized.",,"A standard the output can be checked against, since thoroughness is not something you can test.",,"A limit on length, since thoroughness will tend to produce output rather longer than is wanted.",,"A priority order, since thoroughness treats every part of the task as equally important.",,,,,,2,"The defect in adjectives like thorough is that nothing distinguishes an output that met them from one that did not — there is no check to run. Listing what a complete answer contains converts it into something verifiable. Length, structure and priority are all genuinely missing too, and all downstream of having no testable standard at all.",D1 Prompting & Task Execution
A request asks for a recommendation and the output returns three options with no choice made. What most likely happened?,multiple-choice,The evidence supplied was insufficient to support choosing between the three options given.,,"The request did not say a single recommendation was required, so options were offered instead.",,The model avoids committing to any recommendation on questions that carry business consequences.,,The three options are close enough in merit that no clear recommendation was available.,,,,,,2,"Output shape follows the request, and a request that names a recommendation without saying it wants one selected commonly returns a survey. Saying so explicitly resolves it. The other explanations may be true in a given case and are worth considering only after the specification has been checked, which is both cheaper and more often the cause.",D1 Prompting & Task Execution
A prompt includes an example of the output wanted. What should be checked about that example before relying on it?,multiple-choice,That it was itself produced to a high standard by someone senior enough to set the pattern.,,That it is long enough to demonstrate each of the sections the requested output will need to include.,,That it came from a comparable task rather than from a different kind of work entirely.,,That it is an example of the current standard rather than something the team has since moved past.,,,,,,4,"An exemplar teaches whatever it embodies, including conventions the team has since abandoned, and a stale example silently reinstates them. Confirming it reflects the current standard is the check. Comparability and authorship matter and are usually obvious; length is the least important, since a partial example with stated relevant properties works perfectly well.",D1 Prompting & Task Execution
"Which output is more dangerous to a reviewer, and why?",multiple-choice,"One that is confident and incomplete, since its assurance implies a coverage it lacks.",,"One that is confident and wrong, since nothing in it prompts the scrutiny it needs.",,"One that is hedged and wrong, since the hedging obscures what is actually being claimed.",,"One that is hedged and incomplete, since it is hard to establish what it did address.",,,,,,2,"Confident, fluent and wrong is the characteristic failure precisely because the output carries no signal that anything is amiss — the reviewer's attention is not drawn anywhere. Hedged output at least advertises its own uncertainty, and incompleteness is a serious separate failure that a coverage check against the request will surface.",D2 Output Evaluation & Validation
A reviewer verifies every figure in a report and finds them all correct. What has not yet been established?,multiple-choice,Whether the figures were verified against the primary source or against some secondary summary.,,Whether the figures are presented in the units and format the audience will expect to see.,,"Whether the figures support the conclusions drawn, and whether anything required is missing.",,Whether the figures were drawn from the most recent version of the underlying source data.,,,,,,3,"Correct figures can sit under an unsupported conclusion, and a report can be accurate in everything it says while omitting what mattered. Both are separate checks from figure verification. Recency and provenance are refinements of the figure check itself, and presentation is a fitness question rather than an accuracy one.",D2 Output Evaluation & Validation
