Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Response,Overall Explanation,Domain
A file needed for analysis contains regulated personal identifiers. What is the best first move?,multi-choice,Upload it and instruct Claude not to retain anything.,,"Upload it, since the whole analysis stays inside the team.",,De-identify or aggregate so identifiers are not needed.,,Upload it with the identifying columns given new names.,,,,,,3,"Removing the exposure lets the analysis proceed without sending regulated fields anywhere. An instruction to Claude is not a control, internal purpose does not change where the data went, and renaming columns leaves the same records transmitted.","D6 Governance, Risk & Responsible Use"
"Why does ""this is only for internal use"" fail as a justification for sharing regulated data?",multi-choice,Internal analyses are more likely to contain errors.,,Obligations attach to the data and where it is sent.,,It holds only if the analysis is never shared outside.,,"It is valid, as internal use is generally exempt.",,,,,,2,"Data-handling duties follow the records and their destination, not the intent behind the work. ""Internal"" describes who reads the conclusion, not where the regulated data was transmitted, and no general internal-use exemption exists.","D6 Governance, Risk & Responsible Use"
A deadline would be met if someone skipped the AI data-handling policy once. What should they do?,multi-choice,Skip it now and record the deviation afterwards.,,Skip it for the least sensitive part of the data.,,"Get a manager's informal verbal agreement, and then proceed.",,Follow the policy and request an exception properly.,,,,,,4,"Policies carry no deadline exemption, and exceptions come from the governance process. Proceeding first and documenting later, partial compliance, and informal verbal approval all leave a prohibited handling that has already happened.","D6 Governance, Risk & Responsible Use"
An analyst presents an unverified Claude output to a board as a confirmed finding. What is breached?,multi-choice,"Transparency, by misstating what is actually known.",,"Privacy, by exposing information without consent.",,"Data minimization, by sharing more than was needed.",,"Access control, by bypassing a required approval step.",,,,,,1,"The board is led to believe something is established when it is neither verified nor attributed, which is a failure of honesty about the status of the information. The other three are data-protection concerns that this scenario does not engage.","D6 Governance, Risk & Responsible Use"
Who is accountable for a decision made after acting on a Claude-drafted recommendation?,multi-choice,The vendor supplying the system that produced it.,,"Nobody, if the draft was labelled as AI-generated.",,The person who reviewed it and acted upon it.,,The team that configured the Project it came from.,,,,,,3,"Accountability follows the decision, not the draft. Using AI assistance does not transfer responsibility to the vendor or to whoever set up the configuration, and disclosure does not dissolve it.","D6 Governance, Risk & Responsible Use"
Which use is inappropriate regardless of how well it performs in testing?,multi-choice,Drafting a first-pass response for a specialist to check.,,Comparing submissions against published written criteria.,,Summarizing already published material to brief a team quickly.,,Issuing final eligibility decisions with no human review.,,,,,,4,"A determination of someone's eligibility affects their entitlements, so an accountable person must make it — test performance does not change that. Drafting, criteria-based comparison and summarizing all leave the decision with a human.","D6 Governance, Risk & Responsible Use"
A contract with a client restricts where their data may be processed. An internal AI policy is silent on the point. What governs?,multi-choice,"The internal policy, since it covers all AI usage.",,"The stricter of the two, so the contract restriction.",,"Neither, as silence in the policy implies permission.",,Whichever one the project sponsor decides ought to apply.,,,,,,2,"Contractual commitments bind independently of internal policy, and where obligations overlap the stricter one controls. Silence in a policy is not permission, and a sponsor cannot waive an obligation the organization owes to someone else.","D6 Governance, Risk & Responsible Use"
A team wants to use Claude on data that includes commercially confidential terms. Which sequence is correct?,multi-choice,"Share it all first, then check what the terms allow.",,Rely on the chat being private to the team involved.,,"Check what policy and the agreements permit, then minimize.",,Ask Claude whether the data in question appears safe to share.,,,,,,3,"Permission is established before anything is sent, and only the minimum the analysis requires should then be shared. Sharing first inverts that, chat privacy is not a contractual safeguard, and the model is not the authority on your obligations.","D6 Governance, Risk & Responsible Use"
A staffer proposes writing rejection letters that state reasons inferred from the application whenever the reviewer recorded none. What is the governance problem?,multi-choice,The letters would simply take too long to produce at volume.,,Applicants might reply asking for further explanation.,,There is no problem if the letters note AI assistance.,,Invented reasoning would be presented as the real basis.,,,,,,4,"Telling an applicant why they were refused, using a rationale nobody actually recorded, misrepresents how the decision was reached and misleads them. The fix is to obtain the real reason; volume, follow-up questions and a disclosure line do not touch the issue.","D6 Governance, Risk & Responsible Use"
Output about loan applicants consistently rates one neighbourhood's residents as higher risk with no supporting data. Which principle is engaged?,multi-choice,"Fairness, through an unsupported group disadvantage.",,"Confidentiality, through disclosure of applicant details.",,"Accountability, through unclear decision ownership.",,"Transparency, through undisclosed use of automation.",,,,,,1,"A systematic pattern disadvantaging a group without an evidentiary basis is a fairness failure, and it survives an accuracy check because individual sentences may look defensible. Nothing here concerns disclosure, ownership or automation being hidden.","D6 Governance, Risk & Responsible Use"
