Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A request involves several judgment calls the requester has not settled. What should the prompt ask for before any draft is produced?,multiple-choice,"That Claude state the assumptions it intends to make, and then continue straight on to produce the draft anyway.",,"That Claude put its open questions to the requester first, so the ambiguities are resolved rather than guessed at.",,"That Claude produce a draft covering each of the plausible interpretations, so the requester can pick between them.",,"That Claude begin with the portion of the work that is unambiguous, and leave the contested parts entirely blank.",,,,,,2,"When the requester genuinely has not decided, a draft forces the model to decide for them and buries the choice in prose. Asking for the questions first surfaces the decisions while they are still cheap to make. Stating assumptions is a reasonable fallback when nobody is available to answer, but it settles the questions rather than raising them.",D1 Prompting & Task Execution
A prompt supplies source material that will sometimes be incomplete. What instruction most improves the reliability of the result?,multiple-choice,That Claude should verify each of the details it uses against the material before including it in the output.,,That Claude should mark the output as provisional whenever the source material is not entirely complete.,,That Claude should request the missing material from the person who supplied the original documents.,,"What Claude should do when a required detail is absent, rather than leaving that case unaddressed.",,,,,,4,"An unhandled gap is where fabrication enters: the model has an output shape to fill and no instruction about the empty case, so it produces something plausible. Naming the behaviour explicitly, whether that is leaving the field blank or flagging it, removes the pressure to invent. The other instructions are useful but none of them cover the moment the detail is simply not there.",D1 Prompting & Task Execution
Three rounds of follow-up messages have failed to correct a persistent problem in an output. What is the more effective move?,multiple-choice,Supply an example of a correct output alongside the most recent follow-up message that was already sent.,,"Continue with further follow-up messages, stating the correction in more forceful and explicit terms each time.",,Break the request into smaller pieces and issue each of them as a separate follow-up in the same conversation.,,"Revise the original prompt to specify what was missing, and run it again from a clean start.",,,,,,4,"Corrections accumulate as a layer of patches over an instruction that was wrong to begin with, and the model keeps the flawed original in view. Rewriting the prompt to say what the follow-ups were trying to add produces a cleaner result and, importantly, gives something reusable. Restating more forcefully does not address why the original was misread.",D1 Prompting & Task Execution
A team needs to choose between several possible approaches to a piece of writing. What prompting shape gets them there fastest?,multiple-choice,"Ask for the single best version, then request alternatives if that first attempt proves unsatisfactory.",,"Ask for a description of the possible approaches first, then request a full draft of the preferred one.",,"Ask for several distinctly different versions in one pass, then choose and refine the strongest.",,"Ask for one version per conversation, so that each of the attempts is developed without influence from the others.",,,,,,3,"Generating variants in a single pass is cheap and gives a real basis for comparison, which is what the team actually lacks. Asking for one and iterating anchors on the first attempt. Describing approaches without drafting them under-specifies the comparison, since the difference usually shows up in the execution rather than the description.",D1 Prompting & Task Execution
"A drafting prompt specifies topic, length and tone, and the output still misses. What element is most likely missing?",multiple-choice,"The format of the output, which determines how the material will be arranged on the page for a reader.",,Who will read it and what those readers are expected to do once they have read it.,,"The level of detail required, which determines how much of the underlying material needs to be included.",,"The source material itself, which determines whether the content of the draft is accurate and current.",,,,,,2,"Audience and purpose are what determine which facts matter, what can be assumed, and what the piece has to achieve. A draft that is the right length and tone can still address the wrong reader. Format and detail follow from audience rather than substituting for it, and the scenario indicates a mismatch of aim rather than of fact.",D1 Prompting & Task Execution
A prompt asks for a 'brief' summary and the outputs vary widely in length between runs. What is the fix?,multiple-choice,"Specify the reading time the summary is meant to occupy, which translates directly into a target length.",,"State the length concretely, in words or sections, so there is nothing to interpret.",,"Ask for the shortest summary that covers the material, so the model optimizes for brevity throughout.",,"Provide an example summary of the desired length, so that the model can infer the target from it.",,,,,,2,"Relative words like brief, short and concise have no fixed referent, so the model settles them differently each time. A number removes the variance outright. An example is a reasonable second-best and carries other information too, but it demonstrates the target rather than stating it, which is less reliable than simply saying the number.",D1 Prompting & Task Execution
"Outputs keep including a category of content the team does not want, despite the prompt not asking for it. What addition helps most?",multiple-choice,"A more detailed description of the wanted content, which crowds out the unwanted material naturally.",,A request that the output be reviewed against the instructions before it is returned to the requester.,,"A stricter word limit, which reduces the space available for the unwanted content to appear in.",,"An explicit statement of what to leave out, alongside the description of what to include.",,,,,,4,"A prompt that describes only what is wanted leaves everything else to the model's sense of what belongs, and conventional additions creep in. Naming the exclusion directly is the cheapest correction. Length limits and richer positive description reduce the frequency without addressing the reason the material is being included.",D1 Prompting & Task Execution
A conversation began on one task and has since moved to a materially different one. What should happen?,multiple-choice,"Ask for a summary of the conversation so far, and continue from that summary in the same thread.",,Continue in the same conversation but state explicitly that the earlier task is now concluded.,,"Continue in the same conversation, so that the background established earlier remains available.",,"Start fresh with a prompt written for the new task, since the earlier context no longer helps.",,,,,,4,"Accumulated context is only an asset when it bears on the current work. When the task has genuinely changed, the earlier turns compete for attention and pull answers toward the previous framing. A clean start is cheap. Summarizing is the right move when the thread is long but the task is unchanged, which is a different situation.",D1 Prompting & Task Execution
A financial summary presents a set of figures and a total. What check should a reviewer perform first?,multiple-choice,Compare each of the individual figures against the source document they were originally drawn from.,,Check whether the total has been rounded in a way that is consistent with the rest of the document.,,Confirm that the figures are presented in the units the reader will be expecting to see them in.,,Add the individual figures up and confirm that they do in fact produce the stated total.,,,,,,4,"Arithmetic is the cheapest and most decisive check available, and a total that does not reconcile proves an error without any reference to the source. It is also the failure that reads most fluently, since a wrong total looks exactly like a right one. Source comparison matters next, but it is slower and the arithmetic check may make it unnecessary.",D2 Output Evaluation & Validation
An output contains a direct quotation attributed to a supplied document. What must be verified?,multiple-choice,That the quotation is short enough to be used without requiring permission from the original author.,,"That the quotation is attributed to the correct section, so a reader can locate it in the original.",,That the wording appears in the document and that it means there what it is used to mean here.,,"That the document is the most recent version available, so the quotation reflects the current position.",,,,,,3,"Quotations fail in two ways: the words may not be there at all, and they may be there in a context that reverses their sense. Checking presence without checking context catches only half of it. Version, location and length are worth confirming, but none of them establishes that the sentence supports the claim it is attached to.",D2 Output Evaluation & Validation
