Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A prompt that produces good briefing notes for the engineering team produces notes the finance team calls unusable. The task and the source material are identical. What is the most likely cause?,multiple-choice,The source material suits engineering questions and does not carry what the finance team would need to see.,,"The prompt never named a reader, so the output pitched itself at whoever the last request implied.",,The model tier is too low to serve two different audiences from one body of source material.,,The finance team is applying a stricter standard to the same output than the engineers applied.,,,,,,2,"Audience is one of the specifications a prompt has to carry, and when it is absent the output settles on some default reader rather than the one who will actually use it. The same material genuinely does serve both audiences here; what changed is who is reading. Naming the reader and the decision the notes feed resolves it without touching the source or the tier.",D1 Prompting & Task Execution
A four-step chain produces a wrong final recommendation. Steps one and two were reviewed and looked correct at the time. Where should the investigation start?,multiple-choice,"At every step simultaneously, since a chain failure can originate at any point along its length.",,"At step one, since an error there would propagate and could have been missed on a quick review.",,"At step three, since the first unreviewed step is where an undetected error would enter the chain.",,"At step four, since the recommendation is the visible failure and the place where the error is manifest.",,,,,,3,"Reviewing intermediate outputs exists so that a chain failure can be localized rather than searched. Two steps were checked, which makes the first unchecked step the earliest place a fault could still be hiding. Starting at the final output examines a symptom, and re-examining reviewed steps repeats work already done unless the later steps clear.",D1 Prompting & Task Execution
"A team supplies an exemplar of a document they consider good, and output quality does not improve. What most likely makes an exemplar ineffective?",multiple-choice,"It is a single example, and a pattern cannot be established from one instance of a document.",,"It was written by a person rather than generated, so its patterns are harder to reproduce.",,It illustrates the qualities wanted without the request saying which of them to reproduce.,,"It is longer than the outputs being requested, so its structure does not transfer downward.",,,,,,3,"An exemplar communicates a great deal, but only if the request names what about it matters — the section order, the level of detail, the way evidence is cited. Handed over without that, it is open to interpretation on every axis at once. Length and authorship are not the obstacle, and one well-chosen example is usually enough when its relevant properties are stated.",D1 Prompting & Task Execution
An output is close to right and one section is wrong. A team member regenerates the whole thing with an expanded prompt. What does that approach cost?,multiple-choice,"The original output is lost, so there is nothing left to compare the new version against.",,The regeneration takes longer than a targeted follow-up would have taken to write and run.,,"The sections that were already correct are re-rolled, so acceptable work is put back at risk.",,"The expanded prompt is longer, which raises the cost of every single regeneration that follows it.",,,,,,3,"Regenerating everything discards work that was already acceptable and gambles it on another sampling of the whole task. A targeted follow-up naming the section, quoting what is wrong and stating what it should be instead holds the good parts fixed. Time and token cost are real but secondary to putting correct output back in play.",D1 Prompting & Task Execution
"A request asks for reasoning to be shown. One version asks for the conclusion first and the reasoning after; another asks for reasoning first. Which is preferable for a task involving several dependent calculations, and why?",multiple-choice,"Conclusion first, since it puts the answer where a busy reader will find it without hunting for it.",,"Either, since the reasoning and the conclusion are generated from the same underlying material.",,"Conclusion first, since stating it commits the output to a position the reasoning must then support.",,"Reasoning first, since the conclusion is then produced from steps that have already been laid out.",,,,,,4,"When later steps depend on earlier ones, generating the working first means the conclusion follows from it. Asking for the answer first inverts that, and the reasoning becomes an account constructed after the fact. Reader convenience is a real concern and is solved by reformatting afterwards rather than by changing the order in which the work is done.",D1 Prompting & Task Execution
A request specifies a one-page summary and a full audit trail of every figure. What should be recognised before running it?,multiple-choice,"The request needs a more capable model, since satisfying both at once is a harder generation task.",,"The two requirements conflict, so which one governs has to be decided rather than left implicit.",,"The audit trail should be produced first, since the summary can then be derived from that trail.",,"The page limit should be treated as approximate, since audit trails vary in how long they run.",,,,,,2,"A length ceiling and an exhaustive evidence requirement cannot both be met, and running the prompt anyway produces an output that quietly sacrifices one of them. Deciding explicitly — a one-page summary plus a separate detailed annex, say — is the resolution. Treating the stated constraint as approximate makes the choice silently rather than deliberately.",D1 Prompting & Task Execution
A team wants twelve genuinely different campaign concepts. The first request returns twelve variations on one idea. What should change?,multiple-choice,"Ask for concepts that differ in framing and audience, naming the axes they should vary along.",,"Ask for the concepts one at a time, so each is generated without seeing the ones before it.",,"Ask a more capable model, which produces greater variety across a set of creative options.",,"Ask for twenty-four concepts instead, so that more of the range is covered by the larger number.",,,,,,1,"Divergence has to be requested along stated dimensions, or a set converges on variations of whatever framing was established first. Naming the axes — audience, channel, tone, the objection each concept answers — produces genuinely distinct options. Asking for more of the same yields more variations, and generating in isolation forfeits the ability to require difference.",D1 Prompting & Task Execution
Which observation best indicates that a task should be broken into steps rather than requested in one prompt?,multiple-choice,"The output is expected to be long, and long outputs are more reliably produced in sections.",,The output would be wrong in a way nobody could detect without seeing the intermediate work.,,The task involves more than one source document that has to be read to produce the answer.,,The request is long enough that the prompt runs to several paragraphs before it is fully complete.,,,,,,2,"Decomposition earns its cost when it makes intermediate results checkable — an undetectable error is exactly what a review point between steps exists to catch. Prompt length, source count and output length all describe size rather than verifiability, and plenty of long single-step tasks are perfectly reliable in one pass.",D1 Prompting & Task Execution
"A dense technical section is rewritten for a general audience. What is the specific risk, and how is it checked?",multiple-choice,"Terminology may be simplified, so a glossary is produced mapping each plain term back to the technical one.",,"Meaning may shift while the prose reads well, so the rewrite is compared clause by clause to the original.",,"Tone may become too informal, so the rewrite is read by someone from the intended general audience.",,"Detail may be lost, so the rewrite is checked to confirm it is not substantially shorter than the source.",,,,,,2,"Simplification can preserve fluency while quietly altering a qualification, a scope condition or a causal direction, and the result reads convincingly either way. Comparing against the original clause by clause is the only check that catches it. Length, glossaries and tone all address presentation rather than whether the claim survived the rewrite intact.",D2 Output Evaluation & Validation
A twelve-page summary of a two-hundred-page report has to be checked and there is time to verify perhaps a tenth of it. What is the most productive sampling strategy?,multiple-choice,"Check a random tenth, so the sample is unbiased and the error rate can be generalized from it.",,"Check the first and the last pages, where a summary's framing and its conclusions are established.",,"Check the longest sections, since more text carries more opportunity for an error to appear.",,"Check the specific claims a decision will rest on, plus any figure stated with unusual precision.",,,,,,4,"Verification effort should follow consequence. The claims a decision turns on are the ones where an error costs something, and oddly precise figures attributed to a source are a known signature of unsupported generation. A random sample estimates an error rate, which is a different objective from protecting the decision this document feeds.",D2 Output Evaluation & Validation
Two Claude outputs on the same question reach opposite conclusions. A team member proposes running it a third time and going with the majority. What is wrong with that?,multiple-choice,"Agreement between generations measures consistency rather than correctness, so two could agree and both be wrong.",,"Three runs is far too small a sample to establish a majority, so many more generations would be needed first.",,"The two outputs may have used different prompts, so they are not comparable in the first place.",,The third run costs more than resolving the disagreement against the source material would cost.,,,,,,1,"A vote among generations tells you what the model tends to produce, not what is true — correlated errors mean agreement is not independence. The disagreement is a useful signal that the question is unsettled by whatever grounding was supplied, and it is resolved by going to the source rather than by generating a tiebreaker.",D2 Output Evaluation & Validation
"A financial summary reports a figure of 4.7 million where the underlying data would support something nearer 470,000. Which check would have caught this fastest?",multiple-choice,An order-of-magnitude sanity check against what the quantity being described plausibly is.,,A request for the model to state its confidence in the figures it has just produced.,,A recomputation of every one of the intermediate figures feeding the total from the original records.,,A comparison against the equivalent figure from the previous reporting period's summary.,,,,,,1,"A factor-of-ten error is visible immediately to anyone who knows roughly what the quantity should be, which makes the magnitude check the cheapest thing to run first. Full recomputation would also catch it at considerably more effort, and a period comparison catches it only if last period's figure was right. Self-reported confidence measures nothing.",D2 Output Evaluation & Validation
