Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A drafting prompt returns text that would suit almost any organization. Which change addresses the cause?,multiple-choice,"Name the reader, the decision it serves, and the format.",,Ask for a longer version that covers more of the ground.,,Instruct Claude to write in a more professional register.,,Request denser use of the industry's technical vocabulary.,,,,,,1,"Generic output means the prompt described a generic request. Reader, purpose and format are the missing context. Length, register and jargon change the surface of the text without supplying anything Claude did not already have.",D1 Prompting & Task Execution
Which of these is task decomposition rather than chunking?,multiple-choice,Dividing the source document into four equally sized parts.,,"Extracting the figures, checking them, then concluding.",,Splitting a sixty-item list into six requests of ten.,,Asking the same broad question across several separate chats.,,,,,,2,"Decomposition creates ordered steps whose intermediate output can be verified before the next step consumes it. Dividing by size, by item count, or across chats leaves the same single task in pieces with nothing checkable in between.",D1 Prompting & Task Execution
Three sections of a five-section draft are strong; the fourth misstates a figure. What does the iteration loop call for?,multiple-choice,Regenerating the whole draft from the original prompt.,,Quoting the wrong figure and stating what it should be.,,Correcting the figure yourself without telling Claude.,,"Adding ""please be more careful with numbers"" and resending.",,,,,,2,"Targeted feedback preserves the strong sections and gives Claude a specific defect to act on. Regenerating risks the good sections, a silent hand-fix never reaches the next turn, and a general plea for care names nothing to change.",D1 Prompting & Task Execution
A team has not yet decided what approach to take and wants to see the possibilities. Which prompting shape fits?,multiple-choice,Request the single strongest approach and proceed with it.,,Supply a completed template for Claude to populate.,,"Request a range of distinct options, then narrow later.",,Request a staged rollout plan with owners and milestones.,,,,,,3,"This is brainstorming, which needs divergence before convergence. Asking for one answer, filling a template, or planning a rollout all assume a direction the team has not chosen yet.",D1 Prompting & Task Execution
A prompt demands exhaustive depth on twelve items and a strict one-page limit. Drafts are either shallow or overlong. What is the diagnosis?,multiple-choice,The attached source material is too large to process.,,The chosen model lacks the reasoning depth required.,,The requested output format is the limiting factor.,,The prompt's constraints cannot both be satisfied.,,,,,,4,"Exhaustive depth on twelve items and one page are mutually exclusive, so every draft sacrifices one. No model, format or file change resolves a contradiction — the author has to decide which constraint governs.",D1 Prompting & Task Execution
Which addition to a drafting prompt typically produces the largest single improvement?,multiple-choice,A short example of an output the team calls good.,,An instruction to think carefully before answering.,,A request for the most comprehensive answer possible.,,A reminder that the task matters to the business.,,,,,,1,"An exemplar communicates tone, structure and depth at once, in a form Claude can match. Exhortations to think carefully, be comprehensive, or take the task seriously add no information about what the output should look like.",D1 Prompting & Task Execution
"A benefits team asks Claude to ""explain these enrollment numbers."" The reply restates the figures in sentences. Which revision turns this into an analysis prompt?",multiple-choice,Ask for the same explanation at roughly twice the length.,,Ask which figures Claude considers the most interesting.,,"Ask for the trend, its drivers, and the data's limits.",,Ask for the figures to be presented as a formatted table.,,,,,,3,"Analysis needs a comparison baseline, a question about causes, and an honest statement of what the data does not establish. Length, reformatting, and asking what Claude finds interesting all return the same restatement in a different shape.",D1 Prompting & Task Execution
"A policy team needs a sourced comparison of how four agencies handle appeals, before drafting an options paper. Which prompting approach fits this task type?",multiple-choice,Ask Claude to describe each agency's approach from memory.,,Ask for a brief supporting the option the team favors.,,Ask one broad question and use the first synthesis given.,,"Set the scope, sources and evidence standard, then cite.",,,,,,4,"Research tasks need explicit scope and an evidence standard, run as a cited investigation. Recall invites fabrication, starting from a preferred conclusion biases the work, and accepting the first broad answer skips the investigation entirely.",D1 Prompting & Task Execution
Which request most clearly requires decomposition before it is sent?,multiple-choice,"Pull the totals, benchmark them, then propose targets.",,Rewrite this paragraph for a non-specialist reader.,,Summarize the attached memo in about two hundred words.,,List the questions this proposal leaves unanswered.,,,,,,1,"The first request chains three distinct kinds of work — extraction, benchmarking and recommendation — where an error in the first silently corrupts the third. The others are single tasks that need specification, not splitting.",D1 Prompting & Task Execution
"A prompt says ""make it engaging and on-brand."" The drafts keep missing. What is the most useful fix?",multiple-choice,Repeat the instruction more emphatically at the end.,,Replace the adjectives with rules and a sample they like.,,"Ask Claude to define the terms first, then proceed.",,Request several variations and select whichever reads best.,,,,,,2,"""Engaging"" and ""on-brand"" are judgments held in the team's head, not instructions. Converting them into stated rules plus an exemplar transfers the standard. Emphasis, having Claude guess the definition, and sampling variants all leave the standard unstated.",D1 Prompting & Task Execution
"After a decomposed three-step task, the final recommendation is wrong. Where should the team look first?",multiple-choice,At the wording of the final step's instruction only.,,At whether a more capable model would have performed better.,,"At the intermediate outputs, to find the first bad step.",,At the total length of the conversation so far.,,,,,,3,The point of decomposition is that intermediate outputs exist and can be inspected. Tracing back to the first bad step localizes the fault; rewriting the last instruction or changing model treats a symptom that may have originated two steps earlier.,D1 Prompting & Task Execution
A team is drafting notices and wants consistency across everyone who writes them. Which prompt element most directly delivers that?,multiple-choice,Asking each writer to request a professional tone.,,Asking for longer drafts so more ground is covered.,,Asking Claude to stay consistent with earlier notices.,,Supplying a fixed structure and an approved exemplar.,,,,,,4,"Consistency comes from a shared, explicit standard — a fixed structure plus a model output everyone matches. Individual requests for professionalism, extra length, or an appeal to unseen earlier notices leave each writer applying their own standard.",D1 Prompting & Task Execution
An early draft is close but pitched at the wrong reader. What is the most efficient next move?,multiple-choice,Start a new chat and describe the task again from scratch.,,Keep the draft and ask for it to be re-pitched.,,Accept it and adjust the wording manually afterwards.,,Ask for three alternative drafts and compare them.,,,,,,2,"The content is sound and only the register is wrong, so the efficient move is a targeted follow-up naming the actual reader. Restarting discards usable work, manual adjustment forfeits the correction, and generating alternatives multiplies review for no gain.",D1 Prompting & Task Execution
Which statement about prompt length is accurate?,multiple-choice,Longer prompts reliably produce more accurate outputs.,,Prompt length has no bearing on output quality at all.,,Prompts should always be kept as short as possible.,,Specificity helps; length is only a side effect.,,,,,,4,"Specificity drives quality and length merely follows from adding it. A long prompt padded with emphasis helps nothing, and an artificially short prompt usually omits the context that would have made the output usable.",D1 Prompting & Task Execution
